"","PFAM_IDs","Conserved_W"
"156","PF00265","0"
"157","PF00266","0"
"158","PF00267","0"
"159","PF00268","0"
"160","PF00269","0"
"161","PF00270","0"
"162","PF00271","0"
"163","PF00274","0"
"164","PF00275","0"
"165","PF00276","0"
"166","PF00278","0"
"167","PF00281","0"
"168","PF00282","0"
"169","PF00283","0"
"170","PF00284","0"
"171","PF00285","0"
"172","PF00288","0"
"173","PF00289","0"
"174","PF00290","0"
"175","PF00291","0"
"176","PF00293","0"
"177","PF00294","0"
"178","PF00295","0"
"179","PF00296","0"
"180","PF00297","0"
"181","PF00298","0"
"182","PF00300","0"
"183","PF00301","0"
"184","PF00302","0"
"185","PF00303","0"
"186","PF00305","0"
"187","PF00306","0"
"188","PF00308","0"
"189","PF00309","0"
"190","PF00310","0"
"191","PF00311","0"
"192","PF00312","0"
"193","PF00313","0"
"194","PF00314","0"
"195","PF00316","0"
"196","PF00317","0"
"197","PF00318","0"
"198","PF00324","0"
"199","PF00325","0"
"200","PF00326","0"
"201","PF00327","0"
"202","PF00328","0"
"203","PF00329","0"
"204","PF00330","0"
"205","PF00331","0"
"206","PF00332","0"
"207","PF00333","0"
"208","PF00334","0"
"209","PF00338","0"
"210","PF00342","0"
"211","PF00343","0"
"212","PF00344","0"
"213","PF00345","0"
"214","PF00346","0"
"215","PF00347","0"
"216","PF00348","0"
"217","PF00349","0"
"218","PF00350","0"
"219","PF00351","0"
"220","PF00352","0"
"221","PF00353","0"
"222","PF00355","0"
"223","PF00356","0"
"224","PF00358","0"
"225","PF00359","0"
"226","PF00360","0"
"227","PF00361","0"
"228","PF00364","0"
"229","PF00365","0"
"230","PF00366","0"
"231","PF00367","0"
"232","PF00368","0"
"233","PF00370","0"
"234","PF00374","0"
"235","PF00375","0"
"236","PF00376","0"
"237","PF00378","0"
"238","PF00380","0"
"239","PF00381","0"
"240","PF00382","0"
"241","PF00383","0"
"242","PF00384","0"
"243","PF00388","0"
"244","PF00389","0"
"245","PF00390","0"
"246","PF00391","0"
"247","PF00392","0"
"248","PF00393","0"
"249","PF00394","0"
"250","PF00395","0"
"251","PF00398","0"
"252","PF00400","0"
"253","PF00401","0"
"254","PF00403","0"
"255","PF00404","0"
"256","PF00406","0"
"257","PF00408","0"
"258","PF00410","0"
"259","PF00411","0"
"260","PF00413","0"
"261","PF00415","0"
"262","PF00416","0"
"263","PF00419","0"
"264","PF00420","0"
"265","PF00421","0"
"266","PF00425","0"
"267","PF00427","0"
"268","PF00428","0"
"269","PF00430","0"
"270","PF00431","0"
"271","PF00432","0"
"272","PF00436","0"
"273","PF00437","0"
"274","PF00438","0"
"275","PF00440","0"
"276","PF00441","0"
"277","PF00444","0"
"278","PF00445","0"
"279","PF00448","0"
"280","PF00449","0"
"281","PF00450","0"
"282","PF00453","0"
"283","PF00455","0"
"284","PF00456","0"
"285","PF00457","0"
"286","PF00459","0"
"287","PF00460","0"
"288","PF00462","0"
"289","PF00463","0"
"290","PF00464","0"
"291","PF00465","0"
"292","PF00466","0"
"293","PF00467","0"
"294","PF00468","0"
"295","PF00471","0"
"296","PF00472","0"
"297","PF00474","0"
"298","PF00475","0"
"299","PF00476","0"
"300","PF00478","0"
"301","PF00479","0"
"302","PF00480","0"
"303","PF00481","0"
"304","PF00482","0"
"305","PF00483","0"
"306","PF00484","0"
"307","PF00485","0"
"308","PF00486","0"
"309","PF00487","0"
"310","PF00488","0"
"311","PF00490","0"
"312","PF00491","0"
"313","PF00493","0"
"314","PF00494","0"
"315","PF00496","0"
"316","PF00497","0"
"317","PF00498","0"
"318","PF00499","0"
"319","PF00501","0"
"320","PF00502","0"
"321","PF00504","0"
"322","PF00507","0"
"323","PF00510","0"
"324","PF00512","0"
"325","PF00515","0"
"326","PF00520","0"
"327","PF00521","0"
"328","PF00528","0"
"329","PF00529","0"
"330","PF00532","0"
"331","PF00533","0"
"332","PF00534","0"
"333","PF00535","0"
"334","PF00536","0"
"335","PF00542","0"
"336","PF00543","0"
"337","PF00544","0"
"338","PF00545","0"
"339","PF00547","0"
"340","PF00549","0"
"341","PF00550","0"
"342","PF00551","0"
"343","PF00553","0"
"344","PF00556","0"
"345","PF00557","0"
"346","PF00560","0"
"347","PF00561","0"
"348","PF00562","0"
"349","PF00563","0"
"350","PF00565","0"
"351","PF00570","0"
"352","PF00571","0"
"353","PF00572","0"
"354","PF00573","0"
"355","PF00574","0"
"356","PF00575","0"
"357","PF00576","0"
"358","PF00577","0"
"359","PF00578","0"
"360","PF00579","0"
"361","PF00580","0"
"362","PF00581","0"
"363","PF00582","0"
"364","PF00583","0"
"365","PF00584","0"
"366","PF00585","0"
"367","PF00586","0"
"368","PF00587","0"
"369","PF00588","0"
"370","PF00589","0"
"371","PF00590","0"
"372","PF00591","0"
"373","PF00593","0"
"374","PF00595","0"
"375","PF00596","0"
"376","PF00614","0"
"377","PF00623","0"
"378","PF00625","0"
"379","PF00629","0"
"380","PF00633","0"
"381","PF00636","0"
"382","PF00639","0"
"383","PF00646","0"
"384","PF00648","0"
"385","PF00652","0"
"386","PF00654","0"
"387","PF00656","0"
"388","PF00657","0"
"389","PF00662","0"
"390","PF00664","0"
"391","PF00665","0"
"392","PF00667","0"
"393","PF00668","0"
"394","PF00669","0"
"395","PF00670","0"
"396","PF00672","0"
"397","PF00673","0"
"398","PF00675","0"
"399","PF00676","0"
"400","PF00677","0"
"401","PF00679","0"
"402","PF00682","0"
"403","PF00684","0"
"404","PF00685","0"
"405","PF00686","0"
"406","PF00687","0"
"407","PF00689","0"
"408","PF00690","0"
"409","PF00691","0"
"410","PF00692","0"
"411","PF00694","0"
"412","PF00696","0"
"413","PF00697","0"
"414","PF00698","0"
"415","PF00699","0"
"416","PF00700","0"
"417","PF00701","0"
"418","PF00702","0"
"419","PF00703","0"
"420","PF00704","0"
"421","PF00705","0"
"422","PF00707","0"
"423","PF00708","0"
"424","PF00709","0"
"425","PF00710","0"
"426","PF00712","0"
"427","PF00717","0"
"428","PF00719","0"
"429","PF00720","0"
"430","PF00722","0"
"431","PF00723","0"
"432","PF00724","0"
"433","PF00725","0"
"434","PF00728","0"
"435","PF00730","0"
"436","PF00731","0"
"437","PF00732","0"
"438","PF00733","0"
"439","PF00736","0"
"440","PF00737","1"
"441","PF00741","0"
"442","PF00742","0"
"443","PF00743","0"
"444","PF00745","0"
"445","PF00746","0"
"446","PF00749","0"
"447","PF00750","0"
"448","PF00752","0"
"449","PF00753","0"
"450","PF00754","0"
"451","PF00755","0"
"452","PF00756","0"
"453","PF00759","0"
"454","PF00760","1"
"455","PF00762","0"
"456","PF00763","0"
"457","PF00764","0"
"458","PF00765","0"
"459","PF00766","0"
"460","PF00768","0"
"461","PF00771","0"
"462","PF00772","0"
"463","PF00773","0"
"464","PF00775","0"
"465","PF00781","0"
"466","PF00782","0"
"467","PF00793","0"
"468","PF00795","0"
"469","PF00797","0"
"470","PF00800","0"
"471","PF00801","0"
"472","PF00805","0"
"473","PF00808","0"
"474","PF00809","0"
"475","PF00813","0"
"476","PF00814","0"
"477","PF00815","0"
"478","PF00816","0"
"479","PF00817","0"
"480","PF00821","0"
"481","PF00823","0"
"482","PF00825","0"
"483","PF00827","0"
"484","PF00828","0"
"485","PF00829","0"
"486","PF00830","0"
"487","PF00831","0"
"488","PF00832","0"
"489","PF00833","0"
"490","PF00834","0"
"491","PF00839","0"
"492","PF00842","0"
"493","PF00847","0"
"494","PF00848","0"
"495","PF00849","0"
"496","PF00850","0"
"497","PF00852","0"
"498","PF00854","0"
"499","PF00856","0"
"500","PF00857","0"
"501","PF00860","0"
"502","PF00861","0"
"503","PF00862","1"
"504","PF00866","0"
"505","PF00867","0"
"506","PF00871","0"
"507","PF00872","0"
"508","PF00873","0"
"509","PF00874","0"
"510","PF00875","0"
"511","PF00877","0"
"512","PF00881","0"
"513","PF00882","0"
"514","PF00883","0"
"515","PF00884","0"
"516","PF00885","0"
"517","PF00886","0"
"518","PF00887","0"
"519","PF00889","0"
"520","PF00890","0"
"521","PF00891","0"
"522","PF00892","0"
"523","PF00893","0"
"524","PF00899","0"
"525","PF00900","0"
"526","PF00902","0"
"527","PF00903","0"
"528","PF00905","0"
"529","PF00908","0"
"530","PF00909","0"
"531","PF00912","0"
"532","PF00916","0"
"533","PF00919","0"
"534","PF00920","0"
"535","PF00923","0"
"536","PF00924","0"
"537","PF00925","0"
"538","PF00926","0"
"539","PF00929","0"
"540","PF00930","0"
"541","PF00931","0"
"542","PF00932","0"
"543","PF00933","0"
"544","PF00934","0"
"545","PF00935","0"
"546","PF00936","0"
"547","PF00939","0"
"548","PF00941","0"
"549","PF00942","0"
"550","PF00950","0"
"551","PF00953","0"
"552","PF00958","0"
"553","PF00959","0"
"554","PF00960","0"
"555","PF00961","0"
"556","PF00962","0"
"557","PF00963","0"
"558","PF00970","0"
"559","PF00975","0"
"560","PF00977","0"
"561","PF00982","0"
"562","PF00984","0"
"563","PF00986","0"
"564","PF00988","0"
"565","PF00989","0"
"566","PF00990","0"
"567","PF00994","0"
"568","PF00999","0"
"569","PF01000","0"
"570","PF01008","0"
"571","PF01010","0"
"572","PF01011","0"
"573","PF01012","0"
"574","PF01014","0"
"575","PF01015","0"
"576","PF01016","0"
"577","PF01018","0"
"578","PF01019","0"
"579","PF01020","0"
"580","PF01022","0"
"581","PF01025","0"
"582","PF01026","0"
"583","PF01027","0"
"584","PF01028","0"
"585","PF01029","0"
"586","PF01030","0"
"587","PF01032","0"
"588","PF01035","0"
"589","PF01036","0"
"590","PF01037","0"
"591","PF01039","0"
"592","PF01040","0"
"593","PF01041","0"
"594","PF01042","0"
"595","PF01043","0"
"596","PF01047","0"
"597","PF01048","0"
"598","PF01050","0"
"599","PF01051","0"
"600","PF01052","0"
"601","PF01053","0"
"602","PF01055","0"
"603","PF01058","0"
"604","PF01059","0"
"605","PF01061","0"
"606","PF01062","0"
"607","PF01063","0"
"608","PF01066","0"
"609","PF01068","0"
"610","PF01070","0"
"611","PF01071","0"
"612","PF01073","0"
"613","PF01074","0"
"614","PF01075","0"
"615","PF01076","0"
"616","PF01077","0"
"617","PF01078","0"
"618","PF01081","0"
"619","PF01083","0"
"620","PF01084","0"
"621","PF01087","0"
"622","PF01090","0"
"623","PF01092","0"
"624","PF01094","0"
"625","PF01095","0"
"626","PF01096","0"
"627","PF01098","0"
"628","PF01103","0"
"629","PF01106","0"
"630","PF01112","0"
"631","PF01113","0"
"632","PF01116","0"
"633","PF01118","0"
"634","PF01119","0"
"635","PF01120","0"
"636","PF01121","0"
"637","PF01124","0"
"638","PF01126","0"
"639","PF01127","0"
"640","PF01128","0"
"641","PF01131","0"
"642","PF01132","0"
"643","PF01134","0"
"644","PF01135","0"
"645","PF01136","0"
"646","PF01137","0"
"647","PF01138","0"
"648","PF01139","0"
"649","PF01142","0"
"650","PF01144","0"
"651","PF01145","0"
"652","PF01148","0"
"653","PF01149","0"
"654","PF01152","0"
"655","PF01154","0"
"656","PF01155","0"
"657","PF01156","0"
"658","PF01157","0"
"659","PF01161","0"
"660","PF01163","0"
"661","PF01165","0"
"662","PF01168","0"
"663","PF01169","0"
"664","PF01170","0"
"665","PF01171","0"
"666","PF01172","0"
"667","PF01174","0"
"668","PF01175","0"
"669","PF01176","0"
"670","PF01177","0"
"671","PF01179","0"
"672","PF01180","0"
"673","PF01182","0"
"674","PF01183","0"
"675","PF01184","0"
"676","PF01186","0"
"677","PF01187","0"
"678","PF01189","0"
"679","PF01191","0"
"680","PF01192","0"
"681","PF01193","0"
"682","PF01194","0"
"683","PF01195","0"
"684","PF01196","0"
"685","PF01197","0"
"686","PF01198","0"
"687","PF01199","0"
"688","PF01200","0"
"689","PF01201","0"
"690","PF01202","0"
"691","PF01203","0"
"692","PF01204","0"
"693","PF01205","0"
"694","PF01206","0"
"695","PF01207","0"
"696","PF01208","0"
"697","PF01209","0"
"698","PF01210","0"
"699","PF01212","0"
"700","PF01218","0"
"701","PF01219","0"
"702","PF01220","0"
"703","PF01223","0"
"704","PF01225","0"
"705","PF01226","0"
"706","PF01227","0"
"707","PF01228","0"
"708","PF01229","0"
"709","PF01230","0"
"710","PF01232","0"
"711","PF01235","0"
"712","PF01238","0"
"713","PF01241","0"
"714","PF01242","0"
"715","PF01243","0"
"716","PF01244","0"
"717","PF01245","0"
"718","PF01246","1"
"719","PF01247","0"
"720","PF01248","0"
"721","PF01250","0"
"722","PF01252","0"
"723","PF01253","0"
"724","PF01255","0"
"725","PF01256","0"
"726","PF01257","0"
"727","PF01258","0"
"728","PF01259","0"
"729","PF01261","0"
"730","PF01262","0"
"731","PF01263","0"
"732","PF01264","0"
"733","PF01266","0"
"734","PF01268","0"
"735","PF01269","0"
"736","PF01270","0"
"737","PF01272","0"
"738","PF01274","0"
"739","PF01276","0"
"740","PF01278","0"
"741","PF01280","0"
"742","PF01281","0"
"743","PF01282","0"
"744","PF01283","0"
"745","PF01287","0"
"746","PF01288","0"
"747","PF01289","0"
"748","PF01292","0"
"749","PF01293","0"
"750","PF01294","0"
"751","PF01295","0"
"752","PF01297","0"
"753","PF01298","0"
"754","PF01300","0"
"755","PF01301","0"
"756","PF01306","0"
"757","PF01308","0"
"758","PF01311","0"
"759","PF01312","0"
"760","PF01313","0"
"761","PF01314","0"
"762","PF01315","0"
"763","PF01316","0"
"764","PF01321","0"
"765","PF01322","0"
"766","PF01323","0"
"767","PF01325","0"
"768","PF01326","0"
"769","PF01327","0"
"770","PF01329","0"
"771","PF01330","0"
"772","PF01333","0"
"773","PF01336","0"
"774","PF01337","0"
"775","PF01339","0"
"776","PF01340","0"
"777","PF01341","0"
"778","PF01343","0"
"779","PF01344","0"
"780","PF01345","0"
"781","PF01346","0"
"782","PF01348","0"
"783","PF01351","0"
"784","PF01355","0"
"785","PF01361","0"
"786","PF01364","0"
"787","PF01367","0"
"788","PF01368","0"
"789","PF01370","0"
"790","PF01371","0"
"791","PF01374","0"
"792","PF01379","0"
"793","PF01380","0"
"794","PF01381","0"
"795","PF01383","0"
"796","PF01384","0"
"797","PF01385","0"
"798","PF01386","0"
"799","PF01389","0"
"800","PF01391","0"
"801","PF01396","0"
"802","PF01400","0"
"803","PF01401","0"
"804","PF01402","0"
"805","PF01405","0"
"806","PF01406","0"
"807","PF01408","0"
"808","PF01409","0"
"809","PF01411","0"
"810","PF01416","0"
"811","PF01418","0"
"812","PF01420","0"
"813","PF01423","0"
"814","PF01424","0"
"815","PF01425","0"
"816","PF01427","0"
"817","PF01428","0"
"818","PF01430","0"
"819","PF01431","0"
"820","PF01432","0"
"821","PF01433","0"
"822","PF01434","0"
"823","PF01435","0"
"824","PF01436","0"
"825","PF01442","0"
"826","PF01443","0"
"827","PF01446","0"
"828","PF01447","0"
"829","PF01450","0"
"830","PF01451","0"
"831","PF01455","0"
"832","PF01457","1"
"833","PF01458","0"
"834","PF01464","0"
"835","PF01467","0"
"836","PF01468","0"
"837","PF01469","0"
"838","PF01470","0"
"839","PF01471","0"
"840","PF01472","0"
"841","PF01473","0"
"842","PF01474","0"
"843","PF01475","0"
"844","PF01476","0"
"845","PF01478","0"
"846","PF01479","0"
"847","PF01483","0"
"848","PF01487","0"
"849","PF01488","0"
"850","PF01491","1"
"851","PF01493","0"
"852","PF01494","0"
"853","PF01496","0"
"854","PF01497","0"
"855","PF01501","0"
"856","PF01502","0"
"857","PF01503","0"
"858","PF01507","0"
"859","PF01509","0"
"860","PF01510","0"
"861","PF01512","0"
"862","PF01513","0"
"863","PF01514","0"
"864","PF01515","0"
"865","PF01520","0"
"866","PF01521","0"
"867","PF01522","0"
"868","PF01523","0"
"869","PF01526","0"
"870","PF01527","0"
"871","PF01531","0"
"872","PF01535","0"
"873","PF01541","0"
"874","PF01544","0"
"875","PF01545","0"
"876","PF01546","0"
"877","PF01547","0"
"878","PF01548","0"
"879","PF01551","0"
"880","PF01553","0"
"881","PF01554","0"
"882","PF01555","0"
"883","PF01556","0"
"884","PF01557","0"
"885","PF01558","0"
"886","PF01564","0"
"887","PF01565","0"
"888","PF01566","0"
"889","PF01568","0"
"890","PF01569","0"
"891","PF01571","0"
"892","PF01575","0"
"893","PF01578","0"
"894","PF01580","0"
"895","PF01583","0"
"896","PF01584","0"
"897","PF01588","0"
"898","PF01590","0"
"899","PF01592","0"
"900","PF01593","0"
"901","PF01594","0"
"902","PF01595","0"
"903","PF01596","0"
"904","PF01597","0"
"905","PF01599","0"
"906","PF01609","0"
"907","PF01610","0"
"908","PF01612","0"
"909","PF01613","0"
"910","PF01614","0"
"911","PF01617","0"
"912","PF01618","0"
"913","PF01619","0"
"914","PF01624","0"
"915","PF01625","0"
"916","PF01627","0"
"917","PF01628","0"
"918","PF01629","0"
"919","PF01632","0"
"920","PF01633","0"
"921","PF01634","0"
"922","PF01636","0"
"923","PF01637","0"
"924","PF01638","0"
"925","PF01640","0"
"926","PF01641","0"
"927","PF01642","0"
"928","PF01643","0"
"929","PF01645","0"
"930","PF01648","0"
"931","PF01649","0"
"932","PF01650","0"
"933","PF01653","0"
"934","PF01654","0"
"935","PF01655","0"
"936","PF01656","0"
"937","PF01658","0"
"938","PF01661","0"
"939","PF01663","0"
"940","PF01667","0"
"941","PF01668","0"
"942","PF01670","0"
"943","PF01674","0"
"944","PF01676","0"
"945","PF01678","0"
"946","PF01679","0"
"947","PF01680","0"
"948","PF01687","0"
"949","PF01693","0"
"950","PF01694","0"
"951","PF01695","0"
"952","PF01697","0"
"953","PF01699","0"
"954","PF01701","0"
"955","PF01702","0"
"956","PF01704","0"
"957","PF01706","0"
"958","PF01709","0"
"959","PF01710","0"
"960","PF01712","0"
"961","PF01713","0"
"962","PF01715","0"
"963","PF01716","0"
"964","PF01717","0"
"965","PF01719","0"
"966","PF01722","0"
"967","PF01724","0"
"968","PF01725","0"
"969","PF01726","0"
"970","PF01728","0"
"971","PF01729","0"
"972","PF01730","0"
"973","PF01734","0"
"974","PF01737","0"
"975","PF01738","0"
"976","PF01739","0"
"977","PF01740","0"
"978","PF01741","0"
"979","PF01743","0"
"980","PF01744","0"
"981","PF01746","0"
"982","PF01747","0"
"983","PF01750","0"
"984","PF01751","0"
"985","PF01752","0"
"986","PF01755","0"
"987","PF01756","0"
"988","PF01757","0"
"989","PF01758","0"
"990","PF01761","0"
"991","PF01764","0"
"992","PF01765","0"
"993","PF01769","0"
"994","PF01773","0"
"995","PF01774","0"
"996","PF01775","0"
"997","PF01780","0"
"998","PF01782","0"
"999","PF01783","0"
"1000","PF01784","0"
"1001","PF01786","0"
"1002","PF01788","1"
"1003","PF01789","0"
"1004","PF01790","0"
"1005","PF01791","0"
"1006","PF01794","0"
"1007","PF01795","0"
"1008","PF01796","0"
"1009","PF01797","0"
"1010","PF01798","0"
"1011","PF01799","0"
"1012","PF01804","0"
"1013","PF01807","0"
"1014","PF01808","0"
"1015","PF01809","0"
"1016","PF01810","0"
"1017","PF01812","0"
"1018","PF01813","0"
"1019","PF01814","0"
"1020","PF01816","0"
"1021","PF01817","0"
"1022","PF01820","0"
"1023","PF01823","0"
"1024","PF01828","0"
"1025","PF01832","0"
"1026","PF01833","0"
"1027","PF01835","0"
"1028","PF01837","0"
"1029","PF01839","0"
"1030","PF01841","0"
"1031","PF01842","0"
"1032","PF01844","0"
"1033","PF01845","0"
"1034","PF01849","0"
"1035","PF01850","0"
"1036","PF01852","0"
"1037","PF01855","0"
"1038","PF01856","0"
"1039","PF01861","0"
"1040","PF01862","0"
"1041","PF01863","0"
"1042","PF01864","0"
"1043","PF01865","0"
"1044","PF01866","0"
"1045","PF01867","0"
"1046","PF01868","0"
"1047","PF01869","0"
"1048","PF01870","0"
"1049","PF01871","0"
"1050","PF01872","0"
"1051","PF01873","0"
"1052","PF01874","0"
"1053","PF01875","0"
"1054","PF01876","0"
"1055","PF01877","0"
"1056","PF01878","0"
"1057","PF01880","0"
"1058","PF01881","0"
"1059","PF01882","0"
"1060","PF01883","0"
"1061","PF01884","0"
"1062","PF01885","0"
"1063","PF01886","0"
"1064","PF01887","0"
"1065","PF01888","0"
"1066","PF01889","0"
"1067","PF01890","0"
"1068","PF01891","0"
"1069","PF01893","0"
"1070","PF01894","0"
"1071","PF01895","0"
"1072","PF01896","0"
"1073","PF01899","0"
"1074","PF01900","0"
"1075","PF01901","0"
"1076","PF01902","0"
"1077","PF01903","0"
"1078","PF01904","0"
"1079","PF01905","0"
"1080","PF01906","0"
"1081","PF01907","0"
"1082","PF01909","0"
"1083","PF01910","0"
"1084","PF01912","0"
"1085","PF01913","0"
"1086","PF01914","0"
"1087","PF01915","0"
"1088","PF01916","0"
"1089","PF01917","0"
"1090","PF01918","0"
"1091","PF01920","0"
"1092","PF01921","0"
"1093","PF01922","0"
"1094","PF01923","0"
"1095","PF01924","0"
"1096","PF01925","0"
"1097","PF01926","0"
"1098","PF01927","0"
"1099","PF01928","0"
"1100","PF01930","0"
"1101","PF01931","0"
"1102","PF01933","0"
"1103","PF01934","0"
"1104","PF01935","0"
"1105","PF01936","0"
"1106","PF01937","0"
"1107","PF01938","0"
"1108","PF01939","0"
"1109","PF01940","0"
"1110","PF01941","0"
"1111","PF01943","0"
"1112","PF01944","0"
"1113","PF01946","0"
"1114","PF01947","0"
"1115","PF01948","0"
"1116","PF01949","0"
"1117","PF01950","0"
"1118","PF01951","0"
"1119","PF01954","0"
"1120","PF01955","0"
"1121","PF01956","0"
"1122","PF01957","0"
"1123","PF01958","0"
"1124","PF01959","0"
"1125","PF01960","0"
"1126","PF01963","0"
"1127","PF01964","0"
"1128","PF01965","0"
"1129","PF01966","0"
"1130","PF01967","0"
"1131","PF01968","0"
"1132","PF01969","0"
"1133","PF01970","0"
"1134","PF01972","0"
"1135","PF01973","0"
"1136","PF01974","0"
"1137","PF01975","0"
"1138","PF01976","0"
"1139","PF01977","0"
"1140","PF01978","0"
"1141","PF01979","0"
"1142","PF01980","0"
"1143","PF01981","0"
"1144","PF01982","0"
"1145","PF01983","0"
"1146","PF01984","0"
"1147","PF01985","0"
"1148","PF01986","0"
"1149","PF01987","0"
"1150","PF01988","0"
"1151","PF01989","0"
"1152","PF01990","0"
"1153","PF01991","0"
"1154","PF01992","0"
"1155","PF01993","0"
"1156","PF01994","0"
"1157","PF01995","0"
"1158","PF01996","0"
"1159","PF01997","0"
"1160","PF01998","0"
"1161","PF02001","0"
"1162","PF02002","0"
"1163","PF02005","0"
"1164","PF02006","0"
"1165","PF02007","0"
"1166","PF02011","0"
"1167","PF02012","1"
"1168","PF02013","1"
"1169","PF02016","0"
"1170","PF02018","0"
"1171","PF02021","0"
"1172","PF02026","0"
"1173","PF02028","0"
"1174","PF02031","1"
"1175","PF02033","0"
"1176","PF02036","0"
"1177","PF02040","0"
"1178","PF02049","0"
"1179","PF02050","0"
"1180","PF02055","0"
"1181","PF02056","0"
"1182","PF02057","0"
"1183","PF02065","0"
"1184","PF02069","0"
"1185","PF02073","0"
"1186","PF02074","0"
"1187","PF02075","0"
"1188","PF02080","0"
"1189","PF02081","0"
"1190","PF02082","0"
"1191","PF02085","0"
"1192","PF02086","0"
"1193","PF02089","0"
"1194","PF02091","0"
"1195","PF02092","0"
"1196","PF02096","0"
"1197","PF02104","1"
"1198","PF02107","0"
"1199","PF02108","0"
"1200","PF02110","0"
"1201","PF02112","0"
"1202","PF02113","0"
"1203","PF02119","0"
"1204","PF02120","0"
"1205","PF02126","0"
"1206","PF02127","0"
"1207","PF02128","0"
"1208","PF02129","0"
"1209","PF02130","0"
"1210","PF02132","0"
"1211","PF02133","0"
"1212","PF02136","0"
"1213","PF02142","0"
"1214","PF02146","0"
"1215","PF02148","0"
"1216","PF02150","0"
"1217","PF02151","0"
"1218","PF02152","0"
"1219","PF02153","0"
"1220","PF02154","0"
"1221","PF02156","0"
"1222","PF02163","0"
"1223","PF02167","0"
"1224","PF02169","0"
"1225","PF02171","0"
"1226","PF02178","0"
"1227","PF02190","0"
"1228","PF02195","0"
"1229","PF02201","1"
"1230","PF02203","0"
"1231","PF02211","0"
"1232","PF02219","0"
"1233","PF02222","0"
"1234","PF02223","0"
"1235","PF02224","0"
"1236","PF02225","0"
"1237","PF02229","0"
"1238","PF02230","0"
"1239","PF02233","0"
"1240","PF02237","0"
"1241","PF02239","0"
"1242","PF02240","0"
"1243","PF02241","0"
"1244","PF02245","0"
"1245","PF02249","0"
"1246","PF02253","0"
